"BTC-USD.Open","BTC-USD.High","BTC-USD.Low","BTC-USD.Close","BTC-USD.Volume","BTC-USD.Adjusted"
387.427001953125,391.378997802734,380.779998779297,383.614990234375,26229400,383.614990234375
383.988006591797,385.497009277344,372.946014404297,375.071990966797,21777700,375.071990966797
375.180999755859,377.695007324219,357.859008789062,359.511993408203,30901200,359.511993408203
359.891998291016,364.486999511719,325.885986328125,328.865997314453,47236500,328.865997314453
328.915985107422,341.800994873047,289.295989990234,320.510009765625,83308096,320.510009765625
320.389007568359,345.134002685547,302.559997558594,330.079010009766,79011800,330.079010009766
330.584014892578,339.247009277344,320.481994628906,336.18701171875,49199900,336.18701171875
336.115997314453,354.364013671875,327.18798828125,352.940002441406,54736300,352.940002441406
352.747985839844,382.726013183594,347.68701171875,365.026000976562,83641104,365.026000976562
364.68701171875,375.066986083984,352.963012695312,361.56201171875,43665700,361.56201171875
361.361999511719,367.191009521484,355.950988769531,362.299011230469,13345200,362.299011230469
362.605987548828,379.433013916016,356.144012451172,378.549011230469,17552800,378.549011230469
377.920989990234,397.226013183594,368.897003173828,390.414001464844,35221400,390.414001464844
391.691986083984,411.697998046875,391.324005126953,400.869995117188,38491500,400.869995117188
400.954986572266,402.226989746094,388.765991210938,394.773010253906,25267100,394.773010253906
394.518005371094,398.807006835938,373.070007324219,382.555999755859,26990000,382.555999755859
382.756011962891,385.477996826172,375.389007568359,383.757995605469,13600700,383.757995605469
383.976013183594,395.157989501953,378.971008300781,391.441986083984,11416800,391.441986083984
391.253997802734,393.938995361328,386.457000732422,389.545989990234,5914570,389.545989990234
389.230987548828,390.084014892578,378.252014160156,382.845001220703,16419000,382.845001220703
382.420989990234,392.64599609375,380.834014892578,386.475006103516,14188900,386.475006103516
386.118011474609,388.575988769531,382.248992919922,383.157989501953,11641300,383.157989501953
382.962005615234,385.048004150391,356.446990966797,358.4169921875,26456900,358.4169921875
358.591003417969,364.345001220703,353.304992675781,358.345001220703,15585700,358.345001220703
358.610992431641,359.860992431641,342.877014160156,347.27099609375,18127500,347.27099609375
347.486999511719,359.221008300781,343.930999755859,354.704010009766,11272500,354.704010009766
354.777008056641,358.631988525391,349.808990478516,352.989013671875,13033000,352.989013671875
353.214996337891,359.984008789062,352.678985595703,357.618011474609,7845880,357.618011474609
357.088989257812,357.8330078125,335.342987060547,335.591003417969,18192700,335.591003417969
335.709014892578,350.912994384766,335.071990966797,345.304992675781,30177900,345.304992675781
345.009002685547,348.045013427734,337.141998291016,338.321014404297,12545400,338.321014404297
338.649993896484,340.528991699219,321.054992675781,325.748992919922,16677200,325.748992919922
326.075012207031,329.049987792969,320.626007080078,325.891998291016,8603620,325.891998291016
325.569000244141,334.002014160156,325.480987548828,327.553985595703,12948500,327.553985595703
327.161010742188,331.766998291016,325.076995849609,330.492004394531,15655500,330.492004394531
330.683013916016,343.368988037109,330.683013916016,339.485992431641,19817200,339.485992431641
339.4580078125,352.966003417969,338.424011230469,349.290008544922,18797000,349.290008544922
349.817993164062,352.731994628906,341.776000976562,342.415008544922,16834200,342.415008544922
342.153991699219,347.032012939453,342.153991699219,345.488006591797,8535470,345.488006591797
345.376007080078,363.626007080078,344.255004882812,363.264007568359,24205600,363.264007568359
362.265014648438,374.816009521484,357.561004638672,366.924011230469,30450100,366.924011230469
365.856994628906,371.309997558594,363.734985351562,367.695007324219,15838900,367.695007324219
367.984985351562,429.717987060547,367.984985351562,423.561004638672,45783200,423.561004638672
427.273010253906,457.092987060547,401.122985839844,420.734985351562,58945000,420.734985351562
418.4169921875,419.252014160156,384.789001464844,397.817993164062,29589200,397.817993164062
399.649993896484,405.528015136719,371.007995605469,376.132995605469,15727500,376.132995605469
374.730010986328,390.799011230469,374.601989746094,387.881988525391,11905600,387.881988525391
388.348999023438,410.199005126953,377.502014160156,387.407989501953,41518800,387.407989501953
387.785003662109,392.402008056641,371.117004394531,375.197998046875,32222500,375.197998046875
373.89599609375,386.480987548828,373.89599609375,380.554992675781,18931800,380.554992675781
380.307006835938,382.024993896484,356.781005859375,357.839996337891,25233200,357.839996337891
357.878997802734,357.878997802734,344.111999511719,350.847991943359,29850100,350.847991943359
351.60400390625,364.841003417969,350.877990722656,352.920013427734,15273000,352.920013427734
353.174987792969,370.845001220703,353.174987792969,367.572998046875,15151600,367.572998046875
366.947998046875,387.209014892578,366.669006347656,376.901000976562,30930100,376.901000976562
376.885986328125,394.700988769531,374.783996582031,375.347991943359,25442200,375.347991943359
376.019012451172,377.697998046875,365.816009521484,368.369995117188,18601700,368.369995117188
370.502014160156,373.992004394531,368.282012939453,369.670013427734,8748030,369.670013427734
369.373992919922,382.838012695312,358.454986572266,376.446990966797,22946500,376.446990966797
376.152008056641,387.601013183594,372.144989013672,375.490997314453,15375600,375.490997314453
375.510009765625,382.527008056641,373.308990478516,378.046997070312,9194440,378.046997070312
378.248992919922,383.661987304688,376.669006347656,379.244995117188,11763000,379.244995117188
379.25,384.037994384766,377.863006591797,381.315002441406,12364100,381.315002441406
381.721984863281,383.026000976562,374.346008300781,375.010009765625,13340100,375.010009765625
375.717987060547,378.654998779297,367.759002685547,369.60400390625,14529600,369.60400390625
369.441986083984,379.191986083984,365.756011962891,376.85400390625,15181800,376.85400390625
376.756988525391,378.447998046875,370.945007324219,374.785003662109,7009320,374.785003662109
374.835998535156,376.2919921875,373.274993896484,375.095001220703,6491650,375.095001220703
374.964996337891,376.028991699219,361.885986328125,361.908996582031,18898700,361.908996582031
361.894989013672,363.066986083984,344.950988769531,352.218994140625,32915500,352.218994140625
